노드ID,노드순번,노드유형,노드명,노드설명,좌표X,좌표Y,맵핑좌표X,맵핑좌표Y,지역ID,정류장번호,사용여부,표준코드여부(1:표준/0:비표준)
218000521,1,0.0,용두동,용두동,126.878761958,37.6225791646,126.878761958,37.6225791646,,35651.0,1,1
122000746,1,0.0,강남세곡체육공원,강남세곡체육공원,127.112862,37.465565,126.905765771,37.5923604282,,23467.0,1,0
123900049,1,5.0,잠실롯데월드,잠실롯데월드,127.098555827,37.509806577,127.098531756,37.5099734093,,24560.0,1,0
213000464,1,0.0,광명종합터미널,광명종합터미널,126.886127953,37.4186951252,126.886127953,37.4186951252,,38289.0,1,1
103900275,1,5.0,서울숲리버뷰자이아파트제2주차장,서울숲리버뷰자이아파트제2주차장,127.039405,37.556168,127.0393651,37.5563523353,,4890.0,1,0
103900277,1,5.0,서울숲리버뷰자이아파트제1주차장,서울숲리버뷰자이아파트제1주차장,127.038888982,37.5541970798,127.039006933,37.554162409,,4892.0,1,0
124000459,1,0.0,힐스테이트리슈빌강일501동,,127.174674379,37.5724769381,127.174746795,37.5722907508,,25378.0,1,0
123900053,1,5.0,롯데월드.샤롯데,롯데월드.샤롯데,127.100713877,37.5108000421,127.100748146,37.5107628659,,24553.0,1,0
123900055,1,5.0,레이크팰리스아파트,레이크팰리스아파트,127.097273,37.50892,127.097378243,37.5088483561,,24555.0,1,0
213000491,1,0.0,온신초등학교앞,온신초등학교앞,126.845105022,37.4420700615,126.845105022,37.4420700615,,38231.0,1,1
213000492,1,0.0,노온사동차고지,노온사동차고지,126.838533008,37.441685423,126.838533008,37.441685423,,38254.0,1,1
213000493,1,0.0,노온사동차고지,노온사동차고지,126.838551425,37.4418320748,126.838551425,37.4418320748,,38249.0,1,1
107000521,1,0.0,장위래미안아파트,장위래미안아파트,127.05266,37.618853,127.052500454,37.6186628652,,8242.0,1,0
104000303,1,0.0,구의3동주민센터,,127.092102,37.539049,127.092375459,37.5391248446,,5273.0,1,0
1159900113,2,101.0,마곡서1로,마곡서1로,126.819950237,37.5568415269,0.0,0.0,,,1,0
111001134,1,0.0,신사1동주민센터,,126.911347,37.598063,126.911365267,37.5980386541,,12101.0,1,0
206000660,1,0.0,운중동행정복지센터사거리,운중동주민센터사거리,127.077429026,37.3917531464,127.077429026,37.3917531464,,7021.0,1,1
100000414,1,0.0,창덕궁.돈화문국악당,창덕궁. 돈화문국악당,126.991233,37.577431,126.991061212,37.5774776278,,1209.0,1,0
